,stock,date,Negative_VADER,Neutral_VADER,Positive_VADER
227,amazon,2025-03-07,0.0,0.0,5.0
228,amazon,2025-03-08,1.0,0.0,0.0
229,amazon,2025-03-09,1.0,0.0,0.0
230,amazon,2025-03-10,0.0,0.0,1.0
231,amazon,2025-03-12,0.0,0.0,1.0
232,amazon,2025-03-13,2.0,0.0,3.0
233,amazon,2025-03-14,0.0,0.0,2.0
234,amazon,2025-03-15,0.0,0.0,1.0
235,amazon,2025-03-16,0.0,1.0,0.0
236,amazon,2025-03-17,0.0,0.0,2.0
237,amazon,2025-03-18,2.0,0.0,2.0
238,amazon,2025-03-19,1.0,0.0,2.0
239,amazon,2025-03-20,0.0,0.0,2.0
240,amazon,2025-03-21,2.0,0.0,0.0
241,amazon,2025-03-22,0.0,0.0,1.0
242,amazon,2025-03-24,0.0,0.0,1.0
243,amazon,2025-03-25,0.0,0.0,1.0
244,amazon,2025-03-26,3.0,0.0,6.0
245,amazon,2025-03-27,4.0,1.0,6.0
246,amazon,2025-03-28,0.0,0.0,4.0
247,amazon,2025-03-29,0.0,0.0,2.0
248,amazon,2025-03-31,1.0,2.0,1.0
249,netflix,2024-06-01,1.0,0.0,2.0
250,netflix,2024-06-04,0.0,1.0,1.0
251,netflix,2024-06-06,1.0,1.0,0.0
252,netflix,2024-06-07,2.0,2.0,3.0
253,netflix,2024-06-08,4.0,3.0,3.0
254,netflix,2024-06-11,2.0,1.0,0.0
255,netflix,2024-06-12,0.0,1.0,0.0
256,netflix,2024-06-13,3.0,2.0,1.0
257,netflix,2024-06-14,0.0,5.0,0.0
258,netflix,2024-06-16,0.0,1.0,5.0
259,netflix,2024-06-17,1.0,0.0,0.0
260,netflix,2024-06-18,0.0,1.0,0.0
261,netflix,2024-06-19,0.0,2.0,0.0
262,netflix,2024-06-20,0.0,0.0,1.0
263,netflix,2024-06-22,1.0,0.0,0.0
264,netflix,2024-06-23,0.0,0.0,2.0
265,netflix,2024-06-24,0.0,1.0,0.0
266,netflix,2024-06-25,0.0,1.0,1.0
267,netflix,2024-06-26,1.0,0.0,0.0
268,netflix,2024-06-27,0.0,0.0,5.0
269,netflix,2024-07-07,0.0,0.0,2.0
270,netflix,2024-07-08,0.0,1.0,1.0
271,netflix,2024-07-09,1.0,0.0,0.0
272,netflix,2024-07-10,1.0,0.0,6.0
273,netflix,2024-07-11,0.0,1.0,2.0
274,netflix,2024-07-12,0.0,0.0,1.0
275,netflix,2024-07-15,1.0,0.0,0.0
276,netflix,2024-07-16,0.0,1.0,0.0
277,netflix,2024-07-17,0.0,0.0,1.0
278,netflix,2024-07-18,0.0,1.0,1.0
279,netflix,2024-07-19,1.0,6.0,5.0
280,netflix,2024-07-20,0.0,0.0,2.0
281,netflix,2024-07-21,1.0,0.0,0.0
282,netflix,2024-07-22,0.0,0.0,1.0
283,netflix,2024-07-23,1.0,3.0,0.0
284,netflix,2024-07-24,0.0,3.0,0.0
285,netflix,2024-07-25,0.0,2.0,0.0
286,netflix,2024-07-26,0.0,0.0,1.0
287,netflix,2024-07-27,0.0,0.0,2.0
288,netflix,2024-07-28,1.0,1.0,0.0
289,netflix,2024-07-29,1.0,1.0,1.0
290,netflix,2024-07-30,0.0,0.0,1.0
291,netflix,2024-07-31,0.0,1.0,1.0
292,netflix,2024-08-02,1.0,1.0,1.0
293,netflix,2024-08-03,0.0,1.0,0.0
294,netflix,2024-08-05,0.0,0.0,1.0
295,netflix,2024-08-07,1.0,1.0,1.0
296,netflix,2024-08-08,0.0,1.0,0.0
297,netflix,2024-08-09,0.0,1.0,0.0
298,netflix,2024-08-10,1.0,0.0,1.0
299,netflix,2024-08-11,0.0,1.0,0.0
300,netflix,2024-08-12,0.0,1.0,0.0
301,netflix,2024-08-13,0.0,1.0,0.0
302,netflix,2024-08-15,1.0,1.0,1.0
303,netflix,2024-08-16,1.0,2.0,1.0
304,netflix,2024-08-19,0.0,0.0,1.0
305,netflix,2024-08-20,0.0,0.0,1.0
306,netflix,2024-08-22,1.0,1.0,2.0
307,netflix,2024-08-24,0.0,0.0,1.0
308,netflix,2024-08-25,0.0,1.0,0.0
309,netflix,2024-08-27,1.0,0.0,1.0
310,netflix,2024-08-28,0.0,2.0,2.0
311,netflix,2024-08-30,1.0,1.0,1.0
312,netflix,2024-09-06,0.0,1.0,0.0
313,netflix,2024-09-08,0.0,1.0,0.0
314,netflix,2024-09-09,0.0,0.0,2.0
315,netflix,2024-09-11,0.0,2.0,1.0
316,netflix,2024-09-13,1.0,1.0,0.0
317,netflix,2024-09-17,0.0,3.0,3.0
318,netflix,2024-09-18,2.0,1.0,1.0
319,netflix,2024-09-20,0.0,1.0,1.0
320,netflix,2024-09-21,0.0,1.0,0.0
321,netflix,2024-09-22,0.0,1.0,2.0
322,netflix,2024-09-23,2.0,1.0,2.0
323,netflix,2024-09-24,2.0,0.0,0.0
324,netflix,2024-09-25,1.0,1.0,0.0
325,netflix,2024-09-26,4.0,1.0,0.0
326,netflix,2024-09-28,0.0,2.0,0.0
327,netflix,2024-09-29,0.0,1.0,0.0
328,netflix,2024-09-30,1.0,0.0,3.0
329,netflix,2024-10-01,2.0,0.0,0.0
330,netflix,2024-10-02,0.0,1.0,0.0
331,netflix,2024-10-03,2.0,0.0,0.0
332,netflix,2024-10-06,0.0,0.0,1.0
333,netflix,2024-10-07,1.0,0.0,0.0
334,netflix,2024-10-08,1.0,2.0,0.0
335,netflix,2024-10-09,3.0,0.0,1.0
336,netflix,2024-10-10,0.0,1.0,0.0
337,netflix,2024-10-11,0.0,2.0,2.0
338,netflix,2024-10-12,0.0,1.0,1.0
339,netflix,2024-10-13,1.0,1.0,1.0
340,netflix,2024-10-14,1.0,3.0,0.0
341,netflix,2024-10-15,0.0,0.0,2.0
342,netflix,2024-10-16,1.0,1.0,1.0
343,netflix,2024-10-17,1.0,0.0,1.0
344,netflix,2024-10-18,1.0,8.0,6.0
345,netflix,2024-10-19,1.0,4.0,12.0
346,netflix,2024-10-21,0.0,2.0,0.0
347,netflix,2024-10-22,2.0,2.0,0.0
348,netflix,2024-10-23,3.0,0.0,1.0
349,netflix,2024-10-27,0.0,0.0,1.0
350,netflix,2024-10-28,3.0,0.0,1.0
351,netflix,2024-10-29,2.0,1.0,2.0
352,netflix,2024-10-30,1.0,4.0,1.0
353,netflix,2024-10-31,0.0,1.0,0.0
354,netflix,2024-11-01,0.0,1.0,0.0
355,netflix,2024-11-02,0.0,2.0,0.0
356,netflix,2024-11-05,0.0,0.0,1.0
357,netflix,2024-11-06,1.0,0.0,0.0
358,netflix,2024-11-07,0.0,1.0,0.0
359,netflix,2024-11-08,0.0,2.0,0.0
360,netflix,2024-11-10,0.0,1.0,0.0
361,netflix,2024-11-11,0.0,0.0,1.0
362,netflix,2024-11-12,0.0,2.0,4.0
363,netflix,2024-11-13,0.0,6.0,1.0
364,netflix,2024-11-14,1.0,2.0,1.0
365,netflix,2024-11-15,0.0,1.0,3.0
366,netflix,2024-11-16,0.0,0.0,6.0
367,netflix,2024-11-17,2.0,0.0,2.0
368,netflix,2024-11-18,1.0,1.0,1.0
369,netflix,2024-11-19,1.0,1.0,1.0
370,netflix,2024-11-20,1.0,1.0,1.0
371,netflix,2024-11-21,1.0,1.0,1.0
372,netflix,2024-11-23,0.0,1.0,0.0
373,netflix,2024-11-26,0.0,1.0,1.0
374,netflix,2024-11-27,1.0,0.0,1.0
375,netflix,2024-11-29,1.0,1.0,0.0
376,netflix,2024-11-30,0.0,1.0,0.0
377,netflix,2024-12-02,1.0,1.0,0.0
378,netflix,2024-12-03,2.0,0.0,1.0
379,netflix,2024-12-04,0.0,1.0,1.0
380,netflix,2024-12-05,1.0,0.0,3.0
381,netflix,2024-12-06,0.0,1.0,3.0
382,netflix,2024-12-11,0.0,1.0,2.0
383,netflix,2024-12-12,0.0,1.0,1.0
384,netflix,2024-12-13,0.0,1.0,0.0
385,netflix,2024-12-14,0.0,0.0,1.0
386,netflix,2024-12-15,0.0,1.0,2.0
387,netflix,2024-12-16,1.0,0.0,1.0
388,netflix,2024-12-17,1.0,1.0,4.0
389,netflix,2024-12-18,0.0,1.0,0.0
390,netflix,2024-12-19,1.0,2.0,1.0
391,netflix,2024-12-20,0.0,0.0,1.0
392,netflix,2024-12-23,0.0,4.0,4.0
393,netflix,2024-12-24,0.0,0.0,1.0
394,netflix,2024-12-25,0.0,1.0,0.0
395,netflix,2024-12-26,1.0,2.0,0.0
396,netflix,2024-12-27,0.0,1.0,0.0
397,netflix,2024-12-29,0.0,1.0,0.0
398,netflix,2024-12-30,0.0,0.0,1.0
399,netflix,2024-12-31,0.0,0.0,1.0
400,netflix,2025-01-01,0.0,1.0,2.0
401,netflix,2025-01-02,1.0,0.0,0.0
402,netflix,2025-01-03,2.0,2.0,0.0
403,netflix,2025-01-08,0.0,0.0,3.0
404,netflix,2025-01-10,0.0,1.0,0.0
405,netflix,2025-01-13,0.0,0.0,2.0
406,netflix,2025-01-14,0.0,2.0,2.0
407,netflix,2025-01-15,1.0,4.0,0.0
408,netflix,2025-01-16,1.0,1.0,1.0
409,netflix,2025-01-17,0.0,1.0,2.0
410,netflix,2025-01-19,1.0,0.0,0.0
411,netflix,2025-01-21,0.0,2.0,1.0
412,netflix,2025-01-22,1.0,8.0,4.0
413,netflix,2025-01-24,1.0,2.0,6.0
414,netflix,2025-01-25,0.0,0.0,1.0
415,netflix,2025-01-26,0.0,0.0,2.0
416,netflix,2025-01-27,0.0,1.0,3.0
417,netflix,2025-01-28,1.0,0.0,3.0
418,netflix,2025-01-29,3.0,1.0,2.0
419,netflix,2025-01-30,0.0,0.0,1.0
420,netflix,2025-02-01,0.0,2.0,0.0
421,netflix,2025-02-04,2.0,0.0,0.0
422,netflix,2025-02-05,0.0,1.0,4.0
423,netflix,2025-02-07,1.0,0.0,2.0
424,netflix,2025-02-08,0.0,3.0,2.0
425,netflix,2025-02-10,1.0,0.0,0.0
426,netflix,2025-02-11,2.0,0.0,1.0
427,netflix,2025-02-12,1.0,0.0,1.0
428,netflix,2025-02-14,0.0,0.0,1.0
429,netflix,2025-02-15,1.0,0.0,0.0
430,netflix,2025-02-16,1.0,0.0,1.0
431,netflix,2025-02-17,1.0,0.0,0.0
432,netflix,2025-02-18,1.0,0.0,2.0
433,netflix,2025-02-19,1.0,0.0,2.0
434,netflix,2025-02-20,0.0,0.0,1.0
435,netflix,2025-02-21,0.0,0.0,1.0
436,netflix,2025-02-25,0.0,1.0,0.0
437,netflix,2025-02-26,0.0,1.0,1.0
438,netflix,2025-02-27,1.0,0.0,0.0
439,netflix,2025-02-28,1.0,0.0,0.0
440,netflix,2025-03-01,1.0,1.0,1.0
441,netflix,2025-03-02,0.0,0.0,1.0
442,netflix,2025-03-04,1.0,1.0,0.0
443,netflix,2025-03-05,0.0,0.0,2.0
444,netflix,2025-03-06,0.0,0.0,2.0
445,netflix,2025-03-07,0.0,0.0,2.0
446,netflix,2025-03-08,1.0,0.0,1.0
447,netflix,2025-03-09,0.0,1.0,0.0
448,netflix,2025-03-10,2.0,1.0,1.0
449,netflix,2025-03-11,2.0,0.0,1.0
450,netflix,2025-03-12,0.0,1.0,0.0
451,netflix,2025-03-13,1.0,0.0,0.0
452,netflix,2025-03-14,0.0,0.0,1.0
453,netflix,2025-03-15,0.0,1.0,1.0
454,netflix,2025-03-17,0.0,2.0,1.0
455,netflix,2025-03-19,0.0,1.0,0.0
456,netflix,2025-03-21,0.0,0.0,1.0
457,netflix,2025-03-23,1.0,0.0,1.0
458,netflix,2025-03-24,4.0,2.0,1.0
459,netflix,2025-03-25,1.0,2.0,2.0
460,netflix,2025-03-26,1.0,0.0,0.0
461,netflix,2025-03-27,1.0,0.0,1.0
462,netflix,2025-03-28,1.0,0.0,1.0
463,netflix,2025-03-29,0.0,1.0,0.0
464,netflix,2025-03-31,0.0,2.0,1.0
